Rank,Name,School,Grade,Position,Height,Weight,40 Time,Conference,Projected Round,Projected Team,Strengths,Weaknesses,Analysis,,
84,Keanu Tanuvasa,BYU,3.38,DT,N/A,N/A,N/A,BIG 12,6th,TBD,"Three-year starter who began his college career with Utah. Quick, explosive and fires off the snap with a terrific first step. Plays with proper pad level, gets leverage on opponents and works his hands throughout the action. Flashes power, penetrates the line of scrimmage and forces the action. Collected a lot of double-team blocks playing over center last season. Displays agility as well as a variety of moves to protect himself. Quickly locates the ball handler, immediately changes direction and nicely redirects to the action. Makes a lot of plays with hustle and quickness. Shows pass-rush ability.",Average size and inconsistent production.,"Tanuvasa is a hard-working defensive lineman who does the little things well and gets the most from his ability. He must get stronger, but he offers possibilities as a backup in a four-man line.",,
84,Nyjalik Kelly,UCF,3.38,DE,"6'5""",239,4.74,BIG 12,6th,TBD,"Undersized but explosive edge rusher who began his career at the University of Miami and can be used out of a three-point stance as well as standing over tackle. Quick off the snap, fluid and plays with proper pad level. Effective when asked to twist or stunt, explosive and consistently gets leverage on opponents. Quickly gets upfield and works his hands throughout the action. Bends the edge with speed, easily changes direction and quickly pursues plays from the back side. Flashes the ability to drop off the line of scrimmage and play in space. Stays with assignments and does more than pin his ears back and rush upfield.",Possesses average size as well as bulk and is easily out-positioned from the action. Production was pedestrian throughout his college career,"Possesses a tall, thin build and gets easily locked up by blockers. Plays to his 40 time and doesn't show burst in his game. Totaled only 8.5 sacks the past two seasons.",,
84,Tim Keenan III,ALA,3.38,DT,"6'2.5""",311,5.19,SEC,6th,TBD,N/A,N/A,N/A,,
84,Will Kacmarek,OSU,3.38,TE,"6'5""",260,4.73,BIG 10,6th,TBD,N/A,N/A,N/A,,
85,Chris Adams,MEM,3.37,G,N/A,300,5.25,AAC,6th,TBD,"Three-year starter at left tackle who is best in a small area. Strong, effective with his hands and controls opponents at the point of attack. Sets with a wide base, shows explosiveness and quickly gets into blocks. Shows excellent awareness, keeps his head on a swivel and always looks for someone to hit. Makes proper use of angles in pass protection, stays square and rides defenders from their angles of attack. Jolts opponents with explosive hand punch and seals them from the action as a run blocker. Works hard and plays through the whistle. Gets the most from his ability.","Lacks footwork and range off the edge in pass protection, struggles with speed rushers and cannot adjust to the blitz. Lacks agility, which hurts his ability to finish blocks.",Adams was productive as well as durable on the college level and will have an opportunity to be a backup guard on Sundays.,,
85,Drew Allar,PSU,3.37,QB,"6'5""",235,4.73,BIG 10,6th,TBD,N/A,N/A,N/A,,
85,Emmanuel Henderson Jr.,KANSAS,3.37,WR,"6'0.5""",180,N/A,BIG 12,6th,TBD,N/A,N/A,N/A,,
85,Josh Cuevas,ALA,3.37,TE,"6'2.5""",252,4.75,SEC,6th,TBD,N/A,N/A,N/A,,
85,Mikail Kamara,IND,3.37,DE,"6'0.5""",260,4.68,BIG 10,6th,TBD,N/A,N/A,N/A,,
85,Owen Heinecke,OU,3.37,ILB,N/A,N/A,N/A,SEC,6th,TBD,N/A,N/A,N/A,,
85,Pat Coogan,IND,3.37,C,"6'5""",310,5.23,BIG 10,6th,TBD,N/A,N/A,N/A,,
85,Trey Moore,TEX,3.37,OLB,"6'1.5""",245,4.78,SEC,6th,TBD,N/A,N/A,N/A,,
86,Anthony Lucas,USC,3.36,DE,"6'5.5""",280,4.74,BIG 10,6th,TBD,N/A,N/A,N/A,,
86,Cade Klubnik,CLEM,3.36,QB,"6'1.5""",205,4.72,ACC,6th,TBD,"Three year-starter who completed 64% of his throws for more than 10,000 yards during his college career. Touch-and-timing passer who is patient in the pocket, goes through progressions and does not force the ball to covered targets. Incredibly poised and composed throughout the action, senses the rush and works hard to avoid defenders and make positive plays. Spreads the ball around to all his targets and displays a terrific sense for what's happening on the field along with pocket presence. Solid short-to-intermediate passer with a sense of timing on throws. Displays excellent field vision and takes the safe underneath outlet when nothing else is available.","Lacks a next-level arm, cannot drive passes and is less accurate the further downfield he throws the ball. Gets wild when he tries to put extra speed on throws. Had a lot of passes dropped in a disappointing final campaign and totaled just 16 touchdown passes to six interceptions.","Big things were expected from Klubnik last year after a terrific 2024 season, yet he fell short of the mark like many of his Clemson teammates. He's a quarterback who lacks next-level physical skills and must rely on his head to make plays as much as his arm. He offers possibilities as a backup in a timing or West Coast offense and will not fit a system that requires him to regularly throw the ball downfield.",,
86,Caleb Douglas,TTU,3.36,WR,"6'3.5""",198,4.52,BIG 12,6th,TBD,"Two-year starter who began his college career at Florida. Tall, quick and surehanded. Solid route runner who quickly gets in and out of breaks, stays low on exit and extends to offer the quarterback a target. Possesses terrific eye/hand coordination, uses his frame to shield away opponents and consistently makes the catch with his hands. Tracks the pass in the air, keeps the play in bounds after the reception and battles opponents to come away with the contested grab.",Plays to one speed and isnt a vertical threat. Must improve his route running.,Douglas is a surehanded wideout who would be effective in a timing or West Coast offense and projects as a No. 4 wideout on Sundays.,,
86,Deven Eastern,MINN,3.36,DT,"6'5.5""",315,5.19,BIG 10,6th,TBD,N/A,N/A,N/A,,
86,Ethan Onianwa,OSU,3.36,T,"6'6""",331,5.12,BIG 10,6th,TBD,N/A,N/A,N/A,,
86,Joe Royer,CIN,3.36,TE,"6'4.5""",253,4.75,BIG 12,6th,TBD,"Large, efficient tight end who is effective as a pass catcher and as a blocker. Strong, gets leverage on defenders and blocks with a nasty attitude. Starts with excellent knee bend, quickly gets to the second level and gives effort in motion. Chips defenders on his way into routes to disrupt their angles of attack and seals opponents from the action. Quickly releases into pass routes and stays low exiting breaks. Extends his hands and works to make the reception away from his frame. Gets vertical and adjusts or contorts to come away with the difficult grab. Sturdy, offers the quarterback a large target and takes a pounding yet holds on to the ball.",Lacks a burst and plays to his 40 time. More of a short-range target. Watched his production drop from 50 receptions in 2024 to just 29 last season.,"Royer is an efficient tight end who does well in every aspect of the position, yet he lacks great speed as well as overwhelming power. He possesses enough skill to line up as a No. 2 tight end on Sundays who will be brought onto the field for short-yardage or goal-line situations to be used as a blocker or pass catcher.",,
86,T.J. Harden,SMU,3.36,RB,N/A,N/A,N/A,ACC,6th,TBD,N/A,N/A,N/A,,
87,Beau Stephens,IOWA,3.35,G,"6'5""",312,5.28,BIG 10,6th,TBD,N/A,N/A,N/A,,
87,Caleb Tiernan,NW,3.35,T,"6'7.5""",318,5.18,BIG 10,6th,TBD,N/A,N/A,N/A,,
87,Cam Ball,ARK,3.35,DT,"6'3.5""",319,5.12,SEC,6th,TBD,N/A,N/A,N/A,,
87,Demonte Capehart,CLEM,3.35,DT,"6'4.5""",320,5.13,ACC,6th,TBD,"Large, powerful and somewhat athletic defensive tackle who takes up a lot of room in the middle of the line. Shows power in his lower body and knocks blockers back off the ball. Plays with leverage, easily changes direction and has the ability to wreck opponents' gameplans. Quickly gets his hands up and uses them to protect himself. Easily discards blockers then redirects to make plays against the run. Controls opponents or slides off them altogether to get to the action. Flashes an explosive first step, keeps his feet moving and moves well in any direction.",Very streaky and failed to live up to expectations the past two seasons. Marginal pass rusher who totaled just three sacks during his six-year career at Clemson. Knocked from the action by lesser opponents at times.,"Capehart was highly regarded in the scouting community prior to the 2024 season, yet he chose to go back to Clemson after a disappointing campaign. He was hit-and-miss throughout last season and at present is more bark than bite. He possesses an upside and could be a dominant force on the inside of a four-man line, yet he must start to play to his level of ability on every snap.",,
87,J. Michael Sturdivant,FLA,3.35,WR,"6'2.5""",209,4.48,SEC,6th,TBD,N/A,N/A,N/A,,
87,Jaden Dugger,GTOWN,3.35,OLB,"6'5""",239,N/A,SUN BELT,6th,TBD,"Underrated linebacker prospect who is coming off a terrific senior season. Immediately reads or diagnoses plays, remains disciplined with assignments and stays with the action. Breaks down well, effectively uses his hands and quickly locates the ball handler. Efficient, takes proper angles to the action and discards blockers to get to the ball. Constantly around the action, effective upfield or outside the box and works hard to make plays. Turned in three terrific days of practice at the Shrine Bowl and looked like the most complete linebacker on the field.",Possesses a thin build and is easily out-positioned from the action. Marginally quick and does not show great top-end speed. Stiff as well as methodical moving in reverse on passing downs.,"Dugger was a tremendous run-stuffing linebacker last season who made a lot of plays behind the line of scrimmage. Finishing the year with 118 tackles, 11 tackles for loss as well as three sacks, he is a disruptive force, but he must fill out his frame. He has enough ability to get consideration at inside or middle linebacker and plays with a special-teams mentality.",,
87,Parker Brailsford,ALA,3.35,C,N/A,N/A,N/A,SEC,6th,TBD,N/A,N/A,N/A,,
87,Tyren Montgomery,JCU,3.35,WR,"5'11""",189,4.79,D-IAA,6th,TBD,N/A,N/A,N/A,,
87,Wesley Williams,DUKE,3.35,DE,"6'3""",278,N/A,ACC,6th,TBD,"Productive pass rusher who gets the most from his ability. Quick off the snap, plays with terrific pad level and works his hands throughout the action. Incredibly quick, moves well around the field and possesses good change-of-direction skills with the ability to immediately alter his angle of attack. Agile, rarely off his feet and displays a nice inside move. Resilient, chases the action hard and plays with consistent leverage. Was one of the best pass rushers during Shrine Bowl practice.",Easily disrupted by the initial block or out-positioned from the action. Not a great run defender.,Williams is a hard-working lineman who made a lot of plays behind the line of scrimmage the past two seasons and projects as a situational/rotational pass rusher on Sundays who can be used in a variety of schemes.,,
88,Brandon Cleveland,NCST,3.34,DT,"6'2.5""",318,5.08,ACC,6th,TBD,"Athletic defensive tackle with next-level size/speed numbers. Starts with excellent knee bend, gets leverage on opponents and quickly gets his hands up to protect himself. Command double-team blocks in the middle of the line, keeps his feet moving and displays good change-of-direction skills. Resilient, plays off blocks and works to get to the action.",Does not play like an overpowering 320-pound defensive tackle. Doesn't show the ability to get down the line of scrimmage and make plays outside the box despite his 40 time. Possesses short arms. Marginal production on the college level.,"At face value, Cleveland possesses the size, speed and computer numbers to be a middle-round pick, yet the film says otherwise. He's a marginal pass rusher who occasionally makes plays against the run, and he must start to meet expectations to have a career in the NFL.",,
88,Charles Demmings,SFA,3.34,CB,"6'0.5""",188,4.45,D-IAA,6th,TBD,N/A,N/A,N/A,,
88,Fa'alili Fa'amoe,WAKE,3.34,T,"6'5""",320,5.17,ACC,6th,TBD,"Large right tackle prospect who began his college career at Washington State. Quickly sets up in pass protection, immediately gets into run blocks and plays with strength. Fires his hands into defenders, blocks with proper lean and stays square. Patient, keeps his head on a swivel and controls opponents once engaged at the point. Blocks with a nasty attitude, drives defenders off the line and works to annihilate them. Flashes ability in pass protection, keeps his feet moving and effectively uses his hands.","Lacks balance blocking in motion. Inconsistent in pass protection, doesn't make good use of angles and gets knocked back into the pocket by lesser opponents.","Fa'amoe was a four-year starter on the college level and a consistent lineman who gave great effort. He has limitations, but he has the ability to be effective as a backup right tackle.",,
88,Jimmy Rolder,MICH,3.34,ILB,N/A,N/A,N/A,BIG 10,6th,TBD,N/A,N/A,N/A,,
88,John Michael Gyllenborg,WYO,3.34,TE,"6'5.5""",251,4.65,M-WEST,6th,TBD,N/A,N/A,N/A,,
88,Mark Gronowski,IOWA,3.34,QB,"6'2""",235,4.75,BIG 10,6th,TBD,N/A,N/A,N/A,,
88,Patrick Payton,LSU,3.34,DE,"6'4.5""",250,4.65,SEC,6th,TBD,N/A,N/A,N/A,,
88,Rara Thomas,Troy,3.34,WR,"5'11""",212,N/A,SUN BELT,6th,TBD,"Once-highly rated receiver who returned from legal woes last year to have a productive season. Quickly releases off the line into pass routes, is sharp in and out of breaks and stays low on exit. Tracks the pass in the air, extends his hands and snatches the ball away from his frame. Offers the quarterback a target and possesses soft, quick hands. Gets vertical and adjusts or contorts to the errant throw and comes away with the difficult reception even when defenders are draped on him. Possesses a strong build and out-muscles opponents to make the catch. Shows focus as well as concentration, possesses eye/hand coordination and consistently comes away with the difficult grab.","Plays to one speed and isn't a true downfield threat. Did not have great pass-catching production during his college career. Dismissed from the Georgia program in 2024 after being charged with child cruelty and family violence, charges he ultimately reached a plea deal on and received probation for.","Thomas is a skilled pass catcher who has shown next-level ability throughout his college career and did a terrific job at Troy last season after being suspended the prior year. He possesses an NFL build, reliable hands and the ability to line up in a timing offense on Sundays.",,
88,VJ Payne,KSU,3.34,S,"6'3""",210,4.53,BIG 12,6th,TBD,"Three-year starter who has been a dominant run defender on the college level. Physical, forceful and competes throughout the action. Fires upfield to defend the run, take proper angles and wraps up tackling. Quickly picks up coverage assignments, displays skill over the slot receiver and nicely tracks the ball in the air. Fights through blocks to get to the ball handler and make the play.",Lacks an explosive closing burst or break to the ball out of his plant. Lacks speed to the sidelines and is better facing the action in coverage.,"Payne was a forceful yet intelligent safety at Kansas State who is best between the numbers. He comes with outstanding size, yet he may be limited to a two-deep zone scheme, and Payne must make his mark on special teams.",,
88,Xavian Sorey Jr.,ARK,3.34,ILB,"6'1.5""",225,4.62,SEC,6th,TBD,N/A,N/A,N/A,,
89,Behren Morton,TTU,3.33,QB,"6'1.5""",206,4.75,BIG 12,6th,TBD,"Productive college quarterback with marginal upside for the next level. Possesses a quick release and a live arm and gets the ball through the tight spots. Natural looking off the safety, goes through progressions and takes the underneath outlet when nothing else is available. Patient, spreads the ball around and knows where receivers are on the field. Displays a sense of timing on throws and does not make receivers wait on the ball. Relatively accurate. Show some elusiveness and the ability to pick up yardage with his legs.","Seemed to struggle last year, made poor decisions under the rush and held the ball too long. Unnecessarily releases passes off his back foot. Not a big quarterback and cannot withstand the rush.","Morton was a terrific college quarterback who possesses a decent but not elite arm and lacks next-level size. He could back up in offense that does not employ the vertical game, though he'll never be a consistent starter on Sundays.",,
89,CJ Donaldson Jr.,OSU,3.33,RB,"6'1""",227,4.58,BIG 10,6th,TBD,N/A,N/A,N/A,,
89,Cole Wisniewski,TTU,3.33,S,"6'3.5""",214,4.53,BIG 12,6th,TBD,"Massive safety who rebounded after missing 2024 with injury to have an outstanding campaign. Outstanding run defender who crashes upfield, flies around the football and works hard to make plays. Explosive hitter who is a solid open-field tackler. Diagnoses plays, tracks the ball in the air and has a nice move to the throw in coverage.",Does not show an explosive closing burst to the ball out of his plant. Possesses poor hands for the interception. Lacks great range.,"After a tremendous campaign with South Dakota State in 2023 when he intercepted eight passes and recorded 93 tackles, Wisniewski sat on the sidelines in 2024 with injury. He returned and played incredibly well at Texas Tech last season then looked outstanding during Shrine Bowl practices. He's a traditional strong safety with potential in a two-deep system who could surprise on Sundays if he continues to improve his game.",,
89,Collin Wright,STAN,3.33,CB,"5'11.5""",190,4.49,ACC,6th,TBD,"Nice-sized cornerback who has flashed ability the past two seasons. Effective facing the action, communicates well with teammates in the secondary and quickly reads and diagnoses plays. Physical, battles receivers throughout the route and stays with assignments. Nicely times pass defenses and jumps the route to make plays. Possesses good hands for the interception.",Slow to react to receivers' moves off the line of scrimmage and gives up inside leverage. Does a lot of face-guarding in man coverage. Lacks an explosive closing burst.,"Wright is athletic cornerback with decent size who has flashed ability the past two seasons. He comes with a large upside, but he must really polish his game and would be best facing the action in a zone scheme early in his NFL career.",,
89,DJ Rogers,TCU,3.33,TE,"6'3""",242,4.72,BIG 12,6th,TBD,"Athletic tight end prospect with a large upside. Smooth, fluid and easily moves about the field. Settles into the open spot, extends his hands to offer the quarterback a target and makes the reception away from his frame. Often lines up in the slot, quickly releases off the line of scrimmage and easily adjusts to the errant throw. Consistent hands catcher who sells routes and plays like a good athlete. Tracks the pass in the air and gets vertical or contorts to come away with the reception. Blocks with leverage, squares into defenders and seals them from the action.",Plays to his 40 time and does not show elite downfield speed. Doesn't block with a killer mentality. Prone to dropping passes on occasion. Marginally productive and posted a career-best 34 receptions for 319 receiving yards last year.,Rogers is a tight end prospect who has shown ability as well as development in his game and comes with an upside. He's a move tight end prospect with the potential to start off as a No. 3 at the position then improve from that point.,,
89,Jordan Van Den Berg,GT,3.33,DT,"6'3.5""",303,5.12,ACC,6th,TBD,"Penn State transfer who showed consistent improvement in his game the past two seasons. Explodes off the snap with a terrific first step, fights with his hands and works hard to get through blocks. Resilient. Moves well in every direction. Plays with leverage, gets a lot of momentum going upfield and looks as though he was shot out of a cannon at times. Consistently penetrates the line of scrimmage and was credited with 11 TFLs last season.",Lacks natural bulk and strength and gets engulfed at the point or taken from the action by a single blocker. Never proved himself to be a top pass rusher in college.,van den Berg was a defensive lineman who consistently improved on the college level and projects as a three-technique or one-gap lineman in a four-man front.,,
89,Malik Rutherford,GT,3.33,WR,"5'7.5""",165,4.43,ACC,6th,TBD,"Productive three-year starter who is reliable, intelligent and works hard. Finds the open spot in the defense, extends his hands to offer the quarterback a target and consistently makes the reception away from his frame. Tough, physical receiver despite his slight build. Battles and works to come away with the catch. Tracks the deep pass in the air, looks the ball into his hands and easily makes the reception at full speed. Has a burst off the line that enables him to beat defenders, effectively times receptions and shows run-after-the-catch ability. Adjusts to errant throws or gets down to scoop up low passes. Effective on reverses.",Small with a slight build and quarterbacks will struggle to find him unless he's wide open. Has small hands and short arms. Had his senior season interrupted by injury.,"Rutherford is an explosive athlete who plays bigger than his listed size, besides being a terrific receiver. Size is a limiting factor, yet his ability as a pass catcher, reverse runner and return specialist will give him a chance to make an NFL roster as a fifth receiver.",,
89,Vincent Anthony Jr.,DUKE,3.33,DE,"6'5.5""",248,4.75,ACC,6th,TBD,"Tall, productive pass rusher who can stand over tackle or come out of a three-point stance. Agile, flattens off the edge and pursues from the back side. Easily changes direction, displays an inside move and has a variety of techniques with his hands to protect himself or get off blocks. Stays with assignments, possesses excellent movement skills and shows enough athleticism to be used in space. Resilient, keeps his feet moving and plays faster than his 40 time.",Lacks bulk and is easily out-positioned from the action. Does not show a great closing burst.,"Anthony was a terrific defender for Duke the past two seasons, totaling 22.5 TFLs and 12.5 sacks. He must get bigger and stronger, yet he possesses an upside and could be a situational pass rusher early in his NFL career.",,
90,Ahmari Harvey,GT,3.32,CB,"6'0""",190,N/A,ACC,6th,TBD,"Aggressive cornerback who flashes ball skills. Quick flipping his hips in transition, physical and mixes it up with receivers throughout the route. Smooth pedaling in reverse, works to get his head back around to track the pass and nicely times pass defenses. Effectively diagnoses plays, shows agility and has an explosive burst to the ball out of his plant.",Deep speed is a concern. Sometimes struggles to find the ball in the air. Dealt with injury last season and missed time.,"Harvey flashed ability the past three years at Georgia Tech, totaling 63 tackles as a junior then breaking up seven passes last season. He possesses solid size and offers potential in both zone or man coverage, but he must finish his game to make an NFL roster.",,
90,Devin Moore,FLA,3.32,CB,"6'3""",200,4.52,SEC,FA,TBD,N/A,N/A,N/A,,
90,Dillon Bell,UGA,3.32,WR,"6'0""",215,4.55,SEC,6th,TBD,N/A,N/A,N/A,,
90,Ethan Burke,TEX,3.32,DE,"6'6""",258,4.85,SEC,6th,TBD,N/A,N/A,N/A,,
90,Jalen Stroman,ND,3.32,S,"6'0.5""",201,4.5,IND,6th,TBD,N/A,N/A,N/A,,
90,Jeremiah Franklin,BC,3.32,TE,"6'3""",242,4.72,ACC,6th,TBD,"Slightly undersized pass-catching tight end who quickly releases off the line of scrimmage into routes, plays like a good athlete and uses his hands to separate from defenders. Nicely makes the catch in stride, adjusts backwards to the pass and looks the ball into his hands. Extends his hands to offer the quarterback a target, tracks the pass in the air and makes the reception away from his frame. Flashes soft hands. Blocks with leverage, keeps his feet moving in pass protection and works blocks.","Indecisive and has marginal blocking vision. Not a strong blocker. Inconsistent, drops catchable throws and does not always come away with the difficult catch.","Franklin was a productive pass catcher at Boston College the past two seasons, yet he has gaps in his game, which is concerning for the next level. He's built like a move tight end, yet he has been inconsistent catching the ball and average as a blocker. Franklin comes with upside and is worth selecting in the late rounds.",,
90,Logan Taylor,BC,3.32,G,"6'6.5""",312,5.28,ACC,6th,TBD,"Large, strong, power gap prospect who was a four-year starter. Stays square and blocks with explosiveness and excellent lean. Shows excellent recognition and controls defenders once engaged at the point. Effective when he properly places his hands into opponents. Mostly blocks with proper fundamentals, turns defenders off the line and opens up running lanes. Keeps his head on a swivel and works well with linemates.",Stiff and slow adjusting to inside moves. Lack of agility hurts his ability to finish blocks. Lacks footwork and ability in space.,"Taylor is an accomplished straight-ahead, power-blocking linemen who is best in a small area. He's a late-round prospect who could eventually break into the starting lineup two years down the road.",,
90,Nadame Tucker,WMICH,3.32,OLB,"6'1.5""",246,N/A,MAC,6th,TBD,"Two-year starter at left tackle who projects to guard in the NFL. Quick off the snap, stays square and seals defenders from the action. Fires out to the second level, displays blocking vision and plays with leverage. Quick, explosive and fluid pulling across the line of scrimmage to block in motion. Fights hard and plays with a nasty attitude.",Tends to fall off defenders and rarely finishes blocks. Marginal strength and does not get much movement run blocking.,"Mosesso is a hard-working college lineman who displayed limited progress in his game last season after a promising junior campaign. He lacks the athleticism for a zone blocking system and the strength to be used in a power gap scheme, which will make it an uphill battle at the next level.",,
90,Robert Spears-Jennings,OU,3.32,S,"6'1""",211,4.55,SEC,6th,TBD,N/A,N/A,N/A,,
90,Wesley Bissainthe,MIA,3.32,ILB,"6'1.5""",227,4.68,ACC,6th,TBD,"Undersized, athletic run-and-chase linebacker who is quick, fluid and displays excellent speed as well as movement skills in every direction. Gets depth on pass drops, possesses an explosive closing burst of speed and wraps up tackling. Quickly locates the ball handler, easily redirects to the action and immediately alters his angle of attack. Fires upfield to defend the run and gives effort on the blitz. Displays a lot of ability in pursuit and quickly gets to the sidelines. Quarterbacks the defense and makes the calls for the unit.",Was rotated in and out of the lineup during a slightly disappointing 2025 season. Seemed to do a lot of running around rather than playmaking in 2025. Has just two interceptions in his college career despite his athleticism.,"Bissainthe is an undersized one-gap linebacker who can be used on the inside of the 3-4 as a traditional weakside defender, but he must start to show improvement in his game and build upon what was a terrific junior campaign in 2024.",,
91,Alan Herron,MD,3.31,G,N/A,N/A,N/A,BIG 10,6th,TBD,N/A,N/A,N/A,,
91,Avery Smith,TOL,3.31,CB,"5'10""",188,4.53,MAC,6th,TBD,"Two-year starter who has been very productive. Quick flipping his hips in transition, battles opponents throughout the route and works to get his head back around to track the pass. Keeps opponents in front of him, nicely times pass defenses and works hard to get involved and make the play. Displays good route recognition facing the action. Gives a lot of effort defending the run. Effective special-teams player who helps on coverage units.",Lacks top-end speed and does a bit of trailing downfield. Must improve his footwork and skills moving in reverse. Possesses small hands and measures under six feet tall.,"Smith was a consistent cornerback at Toledo who totaled 100 tackles and was credited with 28 pass defenses the past two seasons, when he also blocked a pair of kicks. Best facing the action, he offers possibilities as a dime back in zone coverage and can also line up on coverage units.",,
91,Deshon Singleton,NEB,3.31,S,"6'2.5""",210,4.52,BIG 10,6th,TBD,N/A,N/A,N/A,,
91,Diego Pavia,VAN,3.31,QB,"5'9.5""",207,4.69,SEC,6th,TBD,N/A,N/A,N/A,,
91,Eli Heidenreich,NAVY,3.31,RB,"5'11.5""",205,4.54,AAC,6th,TBD,"Nice-sized ball carrier who has also been a sensational pass catcher out of the backfield the past two seasons. Quick-footed, bounces around piles and defenders and falls forward when tackled. Elusive, creates yardage and possesses terrific field vision. Displays eye/hand coordination as a receiver, possesses soft as well as strong hands and makes a lot of difficult receptions. Quickly gets into pass routes, tracks the pass in the air and shows great focus as well as concentration. Pass-catching totals last year included 51 receptions, 941 yards and 16 TDs after 39 receptions for 671 yards the prior year.",Never rushed for more than 500 yards in a single season. Lacks the speed and agility necessary to turn the corner. Loses momentum trying to immediately alter his angle of attack or cut back against the grain.,Heidenreich was a tremendous pass-catching threat for a Navy offense that preferred to run the ball most of the time. He possesses the size as well as skill to line up as a rotational or third down back once he opts for the NFL.,,
91,Garrett DiGiorgio,UCLA,3.31,T,"6'6.5""",326,5.21,BIG 10,6th,TBD,N/A,N/A,N/A,,
91,Jager Burton,UK,3.31,G,"6'5""",322,5.13,SEC,6th,TBD,N/A,N/A,N/A,,
91,Michael Mokofisi,UTAH,3.31,G,"6'3.5""",316,5.28,BIG 12,6th,TBD,"Underrated blocker who has been a full-time starter since his freshman season. Fundamentally sound, quickly sets up in pass protection and explodes into run blocks. Agile, stays square and turns defenders from the action. Immediately gets his hands into opponents, blocks with a nasty attitude and fluidly pulls across the line of scrimmage. Controls opponents once engaged the point and is large enough to engulf them altogether.",Struggles to adjust and gets beaten by quick or nimble opponents. May lack the pure athleticism to be used in a zone-blocking system.,Mokofisi was a terrific four-year interior offensive lineman for Utah and shows dominance as a run blocker while holding his own in pass protection. He does not get the credit he deserves in the scouting community and will be a great find late in the draft or as a priority free agent who makes a roster as a backup lineman.,,
91,Namdi Obiazor,TCU,3.31,OLB,"6'2.5""",224,4.65,BIG 12,6th,TBD,"Three-year starter who led TCU in tackles as a sophomore and junior. Stays with assignments, works hard to get involved in the action and sells out to make plays. Breaks down well, uses his hands to protect himself and flows well laterally. Works to defeat blocks and set the edge and allows teammates to make plays on the ball. Nicely redirects or adjusts to make the tackle. Displays solid range, nicely adjusts or redirects to ball handlers and wraps up tackling.",Doesn't play to his 40 time or show great speed in pursuit. Lack of size is a red flag.,"Obiazor as a terrific college linebacker who totaled 80 tackles or more each of the past three seasons. He needs to further develop his game, yet he comes with an upside and has special-teams potential.",,
91,Noah Thomas,UGA,3.31,WR,"6'4.5""",200,4.54,SEC,6th,TBD,N/A,N/A,N/A,,
91,Sam Roush,STAN,3.31,TE,"6'4.5""",248,4.76,ACC,6th,TBD,"Hard-working tight end who gets the most from his ability. Quickly releases off the line of scrimmage into pass routes, uses his hands to separate from defenders and extends to make the reception away from his frame. Sturdy receiver who adjusts backwards for the errant throw and wins out in battles. Keeps the play in bounds after the catch and works to pick up positive yardage. Displays blocking vision, quickly gets to the second level and squares into linebackers to take them from the action. Shows ability as a position blocker and gives effort.",Does not play like a top athlete and isn't much faster than his 40 time. Lets too many catchable passes slip away. Possesses average blocking strength and struggles finishing off linebackers.,"Roush was a productive tight end for Stanford the past two seasons and possesses a next-level frame, yet he lacks the athleticism and natural pass-catching hands to be anything other than a third tight end on Sundays.",,
91,Vinny Anthony II,WIS,3.31,WR,"5'11.5""",190,4.47,BIG 10,6th,TBD,N/A,N/A,N/A,,
92,Bauer Sharp,LSU,3.3,TE,"6'3.5""",245,4.72,SEC,6th or 7th,TBD,N/A,N/A,N/A,,
92,Devonte Ross,PSU,3.3,WR,"5'9""",170,4.43,BIG 10,6th or 7th,TBD,N/A,N/A,N/A,,
92,Jalen Catalon,MIZZ,3.3,S,"5'8.5""",200,4.57,SEC,6th or 7th,TBD,N/A,N/A,N/A,,
92,Kobe Baynes,KU,3.3,G,"6'3.5""",318,5.22,BIG 12,6th or 7th,TBD,"Two-year starter who began his college career at Louisville. Powerful and works to bend his knees and block with leverage. Anchors in pass protection and turns defenders from the line run blocking. Works incredibly well with linemates, competes and keeps his head on a swivel. Jolts defenders with explosive hand punch and knocks them from the action while also displaying the ability to kick out or pull across the line of scrimmage. Effective position blocker who stays square and works through the whistle.",Struggles with balance the larger the area he is asked to cover. Lacks footwork in space. Possesses arms under 33 inches.,Baynes is a strong and somewhat athletic interior offensive lineman who can make an NFL roster as a backup for a variety of blocking schemes.,,
92,Mason Reiger,WIS,3.3,OLB,"6'4""",245,N/A,BIG 10,6th or 7th,TBD,N/A,N/A,N/A,,
92,Max Bredeson,MICH,3.3,FB,"6'1""",245,4.78,BIG 10,6th or 7th,TBD,N/A,N/A,N/A,,
92,Scooby Williams,TAMU,3.3,ILB,"6'2""",222,4.63,SEC,6th or 7th,TBD,N/A,N/A,N/A,,   
92,Tyreak Sapp,FLA,3.3,DE,"6'2""",272,N/A,SEC,6th or 7th,TBD,N/A,N/A,N/A,,
93,Chris Hilton Jr.,LSU,3.29,WR,"5'11.5""",185,4.37,SEC,7th,TBD,N/A,N/A,N/A,,
